id;start_time;end_time;status
1;2022-08-14T12:12:23;2022-08-14T06:14:29;79216
2;2022-08-13T21:33:06;2022-08-14T11:24:33;68090
3;2022-08-14T07:50:09;2022-08-14T09:46:46;3695
4;2022-08-13T18:32:41;2022-08-14T14:37:25;30075
5;2022-08-13T22:53:17;2022-08-14T03:25:00;84256
6;2022-08-14T12:59:13;2022-08-14T12:57:54;67700
7;2022-08-14T06:29:10;2022-08-14T12:40:22;90936
8;2022-08-13T18:59:18;2022-08-14T00:54:00;38139
9;2022-08-13T22:31:59;2022-08-14T14:25:22;13164
10;2022-08-14T00:50:45;2022-08-13T17:56:22;66296
