id;code;model;registration_date;month_due
1;interfaces ivory Angola;Credit Incredible;2022-08-13;80116
2;SDD HTTP;Trace Keyboard Avon;2022-08-13;86132
3;invoice multi-byte Chicken;Connecticut;2022-08-14;90870
4;Quality-focused French payment;Road incubate Credit;2022-08-14;60104
5;Automotive;reintermediate Palestinian Response;2022-08-14;22059
6;Hat Industrial;niches;2022-08-14;92320
7;wireless;firewall;2022-08-14;19940
8;full-range;Architect Granite Ball;2022-08-13;42057
9;Agent Chair;Applications JBOD invoice;2022-08-13;29022
10;Solutions International;enhance;2022-08-13;72277
